MGYP,Biome Category,Biome Type,Biome Subtype,Ecosystem Type,Specific Ecosystem
MGYP001430526070,Environmental,Aquatic,Marine,,
MGYP001430526070,Environmental,Aquatic,Marine,Oceanic,
MGYP001431681731,Environmental,Aquatic,Marine,,
MGYP001431681731,Environmental,Aquatic,Marine,Oceanic,
MGYP001433048608,Environmental,Aquatic,Marine,Oceanic,
MGYP001433073694,Environmental,Aquatic,Marine,Oceanic,
MGYP001434424420,Environmental,Aquatic,Marine,,
MGYP001434424420,Environmental,Aquatic,Marine,Oceanic,
MGYP001434629954,Environmental,Aquatic,Marine,Oceanic,
MGYP001435760893,Environmental,Aquatic,Marine,Oceanic,
MGYP001436112370,Environmental,Aquatic,Marine,Oceanic,
MGYP001437231829,Environmental,Aquatic,Marine,Oceanic,
MGYP001437317899,Environmental,Aquatic,Marine,Oceanic,
MGYP001439131671,Environmental,Aquatic,Marine,Oceanic,
MGYP001441180721,Environmental,Aquatic,Marine,,
MGYP001441180721,Environmental,Aquatic,Marine,Oceanic,
MGYP001441299494,Environmental,Aquatic,Marine,,
MGYP001441299494,Environmental,Aquatic,Marine,Oceanic,
MGYP001443052137,Environmental,Aquatic,Marine,Oceanic,
MGYP001443135311,Environmental,Aquatic,Marine,,
MGYP001443135311,Environmental,Aquatic,Marine,Oceanic,
MGYP001443136242,Environmental,Aquatic,Marine,,
MGYP001443136242,Environmental,Aquatic,Marine,Oceanic,
MGYP001447255118,Environmental,Aquatic,Marine,Oceanic,
MGYP001452006127,Environmental,Aquatic,Marine,Oceanic,
MGYP001455352054,Environmental,Aquatic,Marine,Oceanic,
MGYP001455359047,Environmental,Aquatic,Marine,Oceanic,
MGYP001459676702,Host-associated,Human,Digestive system,,
MGYP001459676702,Host-associated,Human,Digestive system,Large intestine,
MGYP001460590038,Environmental,Aquatic,Marine,Oceanic,
MGYP001461480318,Environmental,Aquatic,Marine,Oceanic,
MGYP001462613753,Engineered,Wastewater,Activated Sludge,,
MGYP001463477067,Environmental,Aquatic,Marine,,
MGYP001463477067,Environmental,Aquatic,Marine,Oceanic,
MGYP001464128583,Environmental,Aquatic,Marine,Oceanic,
MGYP001464222526,Environmental,Aquatic,Marine,Oceanic,
MGYP001464485030,Environmental,Aquatic,Marine,Oceanic,
MGYP001467153000,Environmental,Aquatic,Marine,,
MGYP001467153000,Environmental,Aquatic,Marine,Oceanic,
MGYP001468603712,Environmental,Aquatic,Marine,,
MGYP001468603712,Environmental,Aquatic,Marine,Oceanic,
MGYP001469669262,Environmental,Aquatic,Marine,Oceanic,
MGYP001470999073,Environmental,Aquatic,Marine,,
MGYP001470999073,Environmental,Aquatic,Marine,Oceanic,
MGYP001471313547,Environmental,Aquatic,Marine,Oceanic,
MGYP001475093503,Environmental,Aquatic,Marine,,
MGYP001475093503,Environmental,Aquatic,Marine,Oceanic,
MGYP001475416266,Environmental,Aquatic,Marine,Oceanic,
MGYP001475627043,Environmental,Aquatic,Marine,Oceanic,
MGYP001478105059,Environmental,Aquatic,Marine,,
MGYP001478105059,Environmental,Aquatic,Marine,Oceanic,
MGYP001478169182,Environmental,Aquatic,Marine,Oceanic,
MGYP001478880750,Engineered,Wastewater,Activated Sludge,,
MGYP001479031138,Environmental,Aquatic,Marine,,
MGYP001479031138,Environmental,Aquatic,Marine,Oceanic,
MGYP001480598547,Environmental,Aquatic,Marine,Oceanic,
MGYP001481878659,Environmental,Aquatic,Marine,Oceanic,
MGYP001483236822,Environmental,Aquatic,Marine,Oceanic,
MGYP001483781138,Environmental,Aquatic,Marine,Oceanic,
MGYP001483782951,Environmental,Aquatic,Marine,,
MGYP001483782951,Environmental,Aquatic,Marine,Oceanic,
MGYP001486486994,Environmental,Aquatic,Marine,Oceanic,
MGYP001488671559,Environmental,Aquatic,Marine,Oceanic,
MGYP001491214210,Environmental,Aquatic,Marine,,
MGYP001491214210,Environmental,Aquatic,Marine,Oceanic,
MGYP001495822029,Environmental,Aquatic,Marine,,
MGYP001495822029,Environmental,Aquatic,Marine,Oceanic,
MGYP001500901122,Environmental,Aquatic,Marine,Oceanic,
MGYP001501161619,Environmental,Aquatic,Marine,,
MGYP001501161619,Environmental,Aquatic,Marine,Oceanic,
MGYP001501222006,Environmental,Aquatic,Marine,,
MGYP001501222006,Environmental,Aquatic,Marine,Oceanic,
MGYP001502021526,Environmental,Aquatic,Marine,,
MGYP001502021526,Environmental,Aquatic,Marine,Oceanic,
MGYP001502192109,Environmental,Aquatic,Marine,Oceanic,
MGYP001502388070,Environmental,Aquatic,Marine,Oceanic,
MGYP001508311700,Host-associated,Human,Skin,,
MGYP001509840067,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001515421990,Host-associated,Human,Digestive system,Large intestine,
MGYP001515421990,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001515421990,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP001515860935,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001517785574,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001522116553,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001544515232,Engineered,Wastewater,,,
MGYP001551245615,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001551909951,Host-associated,Plants,Rhizosphere,,
MGYP001553392266,Host-associated,Plants,Rhizosphere,,
MGYP001553646702,Host-associated,Plants,Rhizosphere,,
MGYP001555359145,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001556476986,Host-associated,Plants,Rhizosphere,,
MGYP001557471734,Engineered,,,,
MGYP001559263913,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001559780678,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001560028752,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001560190438,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001562023175,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001562527856,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001563703382,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001563887314,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001564463007,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001573638360,Engineered,Wastewater,,,
MGYP001573638360,Engineered,Wastewater,Water and sludge,,
MGYP001574334441,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001575301909,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001576343993,Engineered,Wastewater,,,
MGYP001576362894,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001581017709,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001581572508,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001582857662,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001585338911,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001588080424,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001593297288,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001594527234,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001595317607,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001595624303,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001596099228,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001599865821,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001600986572,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001604000369,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001604870764,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001606964551,Engineered,,,,
MGYP001611349885,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001617973547,Engineered,Wastewater,,,
MGYP001619032387,Environmental,Aquatic,Freshwater,Groundwater,
MGYP001622860715,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001622861810,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001622894278,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001626144185,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001626153899,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001626159621,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001626178968,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001626204566,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001626327972,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001626330305,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001627025497,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001627112497,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001627116347,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001627778738,Environmental,Aquatic,Marine,,
MGYP001627794273,Environmental,Aquatic,Marine,,
MGYP001627852876,Environmental,Aquatic,Marine,,
MGYP001629644110,Host-associated,Human,Digestive system,,
MGYP001634196953,Host-associated,Human,Digestive system,,
MGYP001634543889,Host-associated,Human,Digestive system,,
MGYP001636505415,Host-associated,Human,Digestive system,,
MGYP001637768236,Host-associated,Human,Digestive system,,
MGYP001637768236,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001657424773,Host-associated,Human,Digestive system,,
MGYP001657434007,Host-associated,Human,Digestive system,,
MGYP001657464946,Host-associated,Human,Digestive system,,
MGYP001657669001,Host-associated,Human,Digestive system,,
MGYP001660711218,Host-associated,Human,Digestive system,,
MGYP001661096158,Host-associated,Human,Digestive system,,
MGYP001661250498,Host-associated,Human,Digestive system,,
MGYP001661260214,Host-associated,Human,Digestive system,,
MGYP001667813540,Host-associated,Human,Digestive system,,
MGYP001750363970,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001751217230,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001753655151,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001754629936,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001765971991,Environmental,Aquatic,Freshwater,Sediment,
MGYP001770631041,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001770631215,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001770651498,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001770665372,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001770687550,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001771134318,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001771139349,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001771196130,Host-associated,Birds,Digestive system,,
MGYP001772498014,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001772539121,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001772554294,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001772598765,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001772614567,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001772615312,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001772616689,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001772626497,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001772654563,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001772779378,Environmental,Aquatic,Thermal springs,Hot (42-90C),
MGYP001772895215,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001774265158,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001774798018,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001774945722,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001774952919,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001774961900,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001775065734,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001775093831,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001775247376,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001775299270,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001775310354,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001775399229,Host-associated,Birds,Digestive system,Digestive tube,Cecum
MGYP001778406148,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001778406148,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP001779201131,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001784225213,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001792910734,Environmental,Aquatic,Marine,,
MGYP001793225276,Environmental,Aquatic,Marine,,
MGYP001805856174,Environmental,Aquatic,,,
MGYP001805949054,Environmental,Aquatic,,,
MGYP001806042230,Environmental,Aquatic,,,
MGYP001806181312,Environmental,Aquatic,,,
MGYP001806476706,Environmental,Aquatic,,,
MGYP001806590860,Environmental,Aquatic,,,
MGYP001806634088,Environmental,Aquatic,,,
MGYP001806711746,Environmental,Aquatic,Marine,,
MGYP001806711746,Environmental,Aquatic,Marine,Oceanic,
MGYP001806805357,Environmental,Aquatic,,,
MGYP001807700825,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP001809623593,Environmental,Aquatic,,,
MGYP001809675765,Environmental,Aquatic,,,
MGYP001809693053,Environmental,Aquatic,,,
MGYP001809730377,Environmental,Aquatic,,,
MGYP001809770021,Environmental,Aquatic,,,
MGYP001809836267,Environmental,Aquatic,,,
MGYP001810020546,Environmental,Aquatic,,,
MGYP001975743896,Environmental,Aquatic,Marine,Oceanic,
MGYP002093870796,Host-associated,Human,Digestive system,Large intestine,
MGYP002093870796,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP002097183451,Host-associated,Human,Digestive system,Large intestine,
MGYP002097183451,Host-associated,Mammals,Digestive system,Fecal,
MGYP002322534802,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP002732142711,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP002732142711,Mixed,,,,
MGYP002746297646,Host-associated,Human,,,
MGYP002746297646,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP002875673093,Environmental,Aquatic,Marine,Oceanic,
MGYP003081725754,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP003082420564,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP003082806097,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP003084465561,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP003084518006,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP003085257377,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP003085820630,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP003085820630,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP003086270392,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP003088767509,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP003091123562,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP003093459314,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP003095845846,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP003095920864,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP003097202886,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP003106150382,Host-associated,Human,Digestive system,Large intestine,Fecal
MGYP003106150382,Host-associated,Mammals,Digestive system,Large intestine,Fecal
MGYP003108415748,Environmental,Aquatic,Marine,,
MGYP003108423826,Environmental,Aquatic,Marine,,
MGYP003108424353,Environmental,Aquatic,Marine,,
MGYP003108437609,Environmental,Aquatic,Marine,,
MGYP003108447838,Environmental,Aquatic,Marine,,
MGYP003108459462,Environmental,Aquatic,Marine,,
MGYP003108470380,Environmental,Aquatic,Marine,,
MGYP003108509317,Environmental,Aquatic,Marine,,
MGYP003108561359,Environmental,Aquatic,Marine,,
MGYP003108651414,Environmental,Aquatic,Marine,,
MGYP003108657405,Environmental,Aquatic,Marine,,
MGYP003108660674,Environmental,Aquatic,Marine,,
MGYP003108689773,Environmental,Aquatic,Marine,,
MGYP003108690697,Environmental,Aquatic,Marine,,
MGYP003108701992,Environmental,Aquatic,Marine,,
MGYP003108703271,Environmental,Aquatic,Marine,,
MGYP003108724962,Environmental,Aquatic,Marine,,
MGYP003108735498,Environmental,Aquatic,Marine,,
MGYP003108735519,Environmental,Aquatic,Marine,,
MGYP003108779644,Environmental,Aquatic,Marine,,
MGYP003108793123,Environmental,Aquatic,Marine,,
MGYP003108857287,Environmental,Aquatic,Marine,,
MGYP003108865646,Environmental,Aquatic,Marine,,
MGYP003108893376,Environmental,Aquatic,Marine,,
MGYP003108894514,Environmental,Aquatic,Marine,,
MGYP003108924102,Environmental,Aquatic,Marine,,
MGYP003108945122,Environmental,Aquatic,Marine,,
MGYP003108981179,Environmental,Aquatic,Marine,,
MGYP003108986178,Environmental,Aquatic,Marine,,
MGYP003109001228,Environmental,Aquatic,Marine,,
MGYP003109013058,Environmental,Aquatic,Marine,,
MGYP003109036112,Environmental,Aquatic,Marine,,
MGYP003109044713,Environmental,Aquatic,Marine,,
MGYP003109097681,Environmental,Aquatic,Marine,,
MGYP003109099888,Environmental,Aquatic,Marine,,
MGYP003109108042,Environmental,Aquatic,Marine,,
MGYP003109143355,Environmental,Aquatic,Marine,,
MGYP003109151421,Environmental,Aquatic,Marine,,
MGYP003109151609,Environmental,Aquatic,Marine,,
MGYP003109166457,Environmental,Aquatic,Marine,,
MGYP003109193695,Environmental,Aquatic,Marine,,
MGYP003109195149,Environmental,Aquatic,Marine,,
MGYP003109200899,Environmental,Aquatic,Marine,,
MGYP003109209238,Environmental,Aquatic,Marine,,
MGYP003109209812,Environmental,Aquatic,Marine,,
MGYP003109213134,Environmental,Aquatic,Marine,,
MGYP003109219984,Environmental,Aquatic,Marine,,
MGYP003109221288,Environmental,Aquatic,Marine,,
MGYP003109229875,Environmental,Aquatic,Marine,,
MGYP003109229901,Environmental,Aquatic,Marine,,
MGYP003109241726,Environmental,Aquatic,Marine,,
MGYP003109256820,Environmental,Aquatic,Marine,,
MGYP003109257917,Environmental,Aquatic,Marine,,
MGYP003109274228,Environmental,Aquatic,Marine,,
MGYP003109289825,Environmental,Aquatic,Marine,,
MGYP003109296964,Environmental,Aquatic,Marine,,
MGYP003109322860,Environmental,Aquatic,Marine,,
MGYP003109353800,Environmental,Aquatic,Marine,,
MGYP003109365775,Environmental,Aquatic,Marine,,
MGYP003109399515,Environmental,Aquatic,Marine,,
MGYP003109446970,Environmental,Aquatic,Marine,,
MGYP003109542684,Environmental,Aquatic,Marine,,
MGYP003109548616,Environmental,Aquatic,Marine,,
MGYP003109572309,Environmental,Aquatic,Marine,,
MGYP003109576479,Environmental,Aquatic,Marine,,
MGYP003109633279,Environmental,Aquatic,Marine,,
MGYP003109671843,Environmental,Aquatic,Marine,,
MGYP003109684094,Environmental,Aquatic,Marine,,
MGYP003109687206,Environmental,Aquatic,Marine,,
MGYP003109712078,Environmental,Aquatic,Marine,,
MGYP003109712697,Environmental,Aquatic,Marine,,
MGYP003109733159,Environmental,Aquatic,Marine,,
MGYP003109746915,Environmental,Aquatic,Marine,,
MGYP003109821482,Environmental,Aquatic,Marine,,
MGYP003109852091,Environmental,Aquatic,Marine,,
MGYP003109855403,Environmental,Aquatic,Marine,,
MGYP003109880016,Environmental,Aquatic,Marine,,
MGYP003109887254,Environmental,Aquatic,Marine,,
MGYP003109905037,Environmental,Aquatic,Marine,,
MGYP003109911770,Environmental,Aquatic,Marine,,
MGYP003109933577,Environmental,Aquatic,Marine,,
MGYP003109938013,Environmental,Aquatic,Marine,,
MGYP003109940381,Environmental,Aquatic,Marine,,
MGYP003110004411,Environmental,Aquatic,Marine,,
MGYP003110009043,Environmental,Aquatic,Marine,,
MGYP003110017255,Environmental,Aquatic,Marine,,
MGYP003110029243,Environmental,Aquatic,Marine,,
MGYP003110041355,Environmental,Aquatic,Marine,,
MGYP003110259916,Environmental,Aquatic,Marine,,
MGYP003110288594,Environmental,Aquatic,Marine,,
MGYP003110291835,Environmental,Aquatic,Marine,,
MGYP003110348197,Environmental,Aquatic,Marine,,
MGYP003110370675,Environmental,Aquatic,Marine,,
MGYP003110385353,Environmental,Aquatic,Marine,,
MGYP003110410220,Environmental,Aquatic,Marine,,
MGYP003110482896,Environmental,Aquatic,Marine,,
MGYP003110518084,Environmental,Aquatic,Marine,,
MGYP003110523135,Environmental,Aquatic,Marine,,
MGYP003110546203,Environmental,Aquatic,Marine,,
MGYP003110573179,Environmental,Aquatic,Marine,,
MGYP003110589700,Environmental,Aquatic,Marine,,
MGYP003110657904,Environmental,Aquatic,Marine,,
MGYP003110680273,Environmental,Aquatic,Marine,,
MGYP003110688673,Environmental,Aquatic,Marine,,
MGYP003110727254,Environmental,Aquatic,Marine,,
MGYP003110748565,Environmental,Aquatic,Marine,,
MGYP003110750709,Environmental,Aquatic,Marine,,
MGYP003110768080,Environmental,Aquatic,Marine,,
MGYP003110882604,Environmental,Aquatic,Marine,,
MGYP003110930500,Environmental,Aquatic,Marine,,
MGYP003110987429,Environmental,Aquatic,Marine,,
MGYP003111022402,Environmental,Aquatic,Marine,,
MGYP003111045229,Environmental,Aquatic,Marine,,
MGYP003111111356,Environmental,Aquatic,Marine,,
MGYP003111168657,Environmental,Aquatic,Marine,,
MGYP003111172809,Environmental,Aquatic,Marine,,
MGYP003111177183,Environmental,Aquatic,Marine,,
MGYP003111212958,Environmental,Aquatic,Marine,,
MGYP003111233400,Environmental,Aquatic,Marine,,
MGYP003111270038,Environmental,Aquatic,Marine,,
MGYP003111270780,Environmental,Aquatic,Marine,,
MGYP003111278698,Environmental,Aquatic,Marine,,
MGYP003111298200,Environmental,Aquatic,Marine,,
MGYP003111340946,Environmental,Aquatic,Marine,,
MGYP003111349548,Environmental,Aquatic,Marine,,
MGYP003111361158,Environmental,Aquatic,Marine,,
MGYP003111400756,Environmental,Aquatic,Marine,,
MGYP003111419896,Environmental,Aquatic,Marine,,
MGYP003111452913,Environmental,Aquatic,Marine,,
MGYP003111455455,Environmental,Aquatic,Marine,,
MGYP003111488428,Environmental,Aquatic,Marine,,
MGYP003111496820,Environmental,Aquatic,Marine,,
MGYP003111500763,Environmental,Aquatic,Marine,,
MGYP003111533729,Environmental,Aquatic,Marine,,
MGYP003111578316,Environmental,Aquatic,Marine,,
MGYP003111587628,Environmental,Aquatic,Marine,,
MGYP003111593282,Environmental,Aquatic,Marine,,
MGYP003111606193,Environmental,Aquatic,Marine,,
MGYP003111619074,Environmental,Aquatic,Marine,,
MGYP003111669453,Environmental,Aquatic,Marine,,
MGYP003111672234,Environmental,Aquatic,Marine,,
MGYP003111678093,Environmental,Aquatic,Marine,,
MGYP003111778239,Environmental,Aquatic,Marine,,
MGYP003111894484,Environmental,Aquatic,Marine,,
MGYP003111967096,Environmental,Aquatic,Marine,,
MGYP003112015795,Environmental,Aquatic,Marine,,
MGYP003112365096,Environmental,Aquatic,Marine,,
MGYP003112380670,Environmental,Aquatic,Marine,,
MGYP003112401450,Environmental,Aquatic,Marine,,
MGYP003112420334,Environmental,Aquatic,Marine,,
MGYP003112439959,Environmental,Aquatic,Marine,,
MGYP003112485998,Environmental,Aquatic,Marine,,
MGYP003112585939,Environmental,Aquatic,Marine,,
MGYP003112692639,Environmental,Aquatic,Marine,,
MGYP003112796224,Environmental,Aquatic,Marine,,
MGYP003112926210,Environmental,Aquatic,Marine,,
MGYP003113059926,Environmental,Aquatic,Marine,,
MGYP003113116206,Environmental,Aquatic,Marine,,
MGYP003113204176,Environmental,Aquatic,Marine,,
MGYP003113224282,Environmental,Aquatic,Marine,,
MGYP003113332839,Environmental,Aquatic,Marine,,
MGYP003113354827,Environmental,Aquatic,Marine,,
MGYP003113600401,Environmental,Aquatic,Marine,,
MGYP003113685847,Environmental,Aquatic,Marine,,
MGYP003114047878,Environmental,Aquatic,Marine,,
MGYP003114154398,Environmental,Aquatic,Marine,,
MGYP003114780030,Environmental,Aquatic,Marine,,
MGYP003114965192,Environmental,Aquatic,Marine,,
MGYP003115079722,Environmental,Aquatic,Marine,,
MGYP003115218442,Environmental,Aquatic,Marine,,
MGYP003115258726,Environmental,Aquatic,Marine,,
MGYP003115505860,Environmental,Aquatic,Marine,,
MGYP003115569483,Environmental,Aquatic,Marine,,
MGYP003116365811,Environmental,Aquatic,Marine,,
MGYP003117384472,Environmental,Aquatic,Marine,,
MGYP003118648785,Environmental,Aquatic,Marine,,
MGYP003118733393,Environmental,Aquatic,Marine,,
MGYP003118746305,Environmental,Aquatic,Marine,,
MGYP003119038202,Environmental,Aquatic,Marine,,
MGYP003119448022,Environmental,Aquatic,Marine,,
MGYP003119519882,Environmental,Aquatic,Marine,,
MGYP003120316509,Environmental,Aquatic,Marine,,
MGYP003120323704,Environmental,Aquatic,Marine,,
MGYP003120379217,Environmental,Aquatic,Marine,,
MGYP003120382591,Environmental,Aquatic,Marine,,
MGYP003120535505,Environmental,Aquatic,Marine,,
MGYP003120617315,Environmental,Aquatic,Marine,,
MGYP003120652293,Environmental,Aquatic,Marine,,
MGYP003120654969,Environmental,Aquatic,Marine,,
MGYP003121069150,Environmental,Aquatic,Marine,,
MGYP003121220240,Environmental,Aquatic,Marine,,
MGYP003121347886,Environmental,Aquatic,Marine,,
MGYP003121441476,Environmental,Aquatic,Marine,,
MGYP003122359069,Environmental,Aquatic,Marine,,
MGYP003122407432,Environmental,Aquatic,Marine,,
MGYP003122659305,Environmental,Aquatic,Marine,,
MGYP003122700984,Environmental,Aquatic,Marine,,
MGYP003122815797,Environmental,Aquatic,Marine,,
MGYP003122838860,Environmental,Aquatic,Marine,,
MGYP003122890034,Environmental,Aquatic,Marine,,
MGYP003122950216,Environmental,Aquatic,Marine,,
MGYP003122964800,Environmental,Aquatic,Marine,,
MGYP003122990963,Environmental,Aquatic,Marine,,
MGYP003123049844,Environmental,Aquatic,Marine,,
MGYP003123217689,Environmental,Aquatic,Marine,,
MGYP003123282430,Environmental,Aquatic,Marine,,
MGYP003123294086,Environmental,Aquatic,Marine,,
MGYP003123375869,Environmental,Aquatic,Marine,,
MGYP003123542507,Environmental,Aquatic,Marine,,
MGYP003123563013,Environmental,Aquatic,Marine,,
MGYP003123919383,Environmental,Aquatic,Marine,,
MGYP003125186926,Environmental,Aquatic,Marine,,
MGYP003126429800,Environmental,Aquatic,Marine,,
MGYP003130762430,Environmental,Aquatic,Marine,,
MGYP003130771870,Environmental,Aquatic,Marine,,
MGYP003130772585,Environmental,Aquatic,Marine,,
MGYP003130787376,Environmental,Aquatic,Marine,,
MGYP003130820363,Environmental,Aquatic,Marine,,
MGYP003130828578,Environmental,Aquatic,Marine,,
MGYP003130896271,Environmental,Aquatic,Marine,,
MGYP003130990335,Environmental,Aquatic,Marine,,
MGYP003131024615,Environmental,Aquatic,Marine,,
MGYP003131152314,Environmental,Aquatic,Marine,,
MGYP003131181386,Environmental,Aquatic,Marine,,
MGYP003131181473,Environmental,Aquatic,Marine,,
MGYP003131366139,Environmental,Aquatic,Marine,,
MGYP003131404975,Environmental,Aquatic,Marine,,
MGYP003131440832,Environmental,Aquatic,Marine,,
MGYP003131478486,Environmental,Aquatic,Marine,,
MGYP003131485411,Environmental,Aquatic,Marine,,
MGYP003131532486,Environmental,Aquatic,Marine,,
MGYP003131538574,Environmental,Aquatic,Marine,,
MGYP003131538675,Environmental,Aquatic,Marine,,
MGYP003131547602,Environmental,Aquatic,Marine,,
MGYP003131550817,Environmental,Aquatic,Marine,,
MGYP003131556693,Environmental,Aquatic,Marine,,
MGYP003131578553,Environmental,Aquatic,Marine,,
MGYP003131585963,Environmental,Aquatic,Marine,,
MGYP003131603138,Environmental,Aquatic,Marine,,
MGYP003131634334,Environmental,Aquatic,Marine,,
MGYP003131647051,Environmental,Aquatic,Marine,,
MGYP003131710754,Environmental,Aquatic,Marine,,
MGYP003131731454,Environmental,Aquatic,Marine,,
MGYP003131744986,Environmental,Aquatic,Marine,,
MGYP003131750871,Environmental,Aquatic,Marine,,
